run_id,seed_used,success,restarts_used,total_iterations,time_s,final_conflicts,used_sideways,solution
1,42,False,50,5392,1.8763585290002993,1,,"[3, 3, 0, 7, 5, 1, 6, 4]"
2,43,False,50,5353,1.888763631999609,1,,"[3, 6, 0, 5, 1, 4, 7, 3]"
3,44,False,50,5538,1.9125469840000733,1,,"[2, 4, 7, 0, 0, 3, 1, 6]"
4,45,True,18,1957,0.67738993499961,0,0,"[5, 7, 1, 3, 0, 6, 4, 2]"
5,46,False,50,5537,1.9095188410001356,1,,"[5, 0, 6, 3, 5, 7, 1, 4]"
6,47,False,50,5521,1.8978647130002173,1,,"[1, 3, 6, 0, 7, 5, 0, 2]"
7,48,True,39,4226,1.4420635010001206,0,0,"[6, 2, 7, 1, 4, 0, 5, 3]"
8,49,False,50,5680,1.9551206340001954,1,,"[2, 6, 3, 0, 4, 1, 5, 5]"
9,50,False,50,5612,1.9465534460000526,1,,"[3, 5, 0, 2, 6, 2, 7, 1]"
10,51,False,50,5407,1.8771583309999187,1,,"[2, 6, 1, 7, 4, 0, 7, 5]"
11,52,False,50,5683,1.9836708919997363,1,,"[3, 6, 0, 2, 4, 1, 7, 4]"
12,53,False,50,5544,2.289449647999845,1,,"[4, 6, 0, 3, 1, 7, 5, 1]"
13,54,False,50,5560,2.134067888000118,1,,"[7, 1, 1, 5, 0, 6, 4, 2]"
14,55,False,50,5428,2.05268742699991,1,,"[6, 2, 0, 2, 7, 5, 3, 1]"
15,56,False,50,5500,2.106194790000245,1,,"[0, 4, 6, 1, 5, 7, 1, 3]"
16,57,False,50,5614,2.0928708249998635,1,,"[1, 5, 0, 6, 4, 7, 5, 3]"
17,58,False,50,5542,2.0453914869999608,1,,"[1, 6, 4, 0, 7, 4, 2, 5]"
18,59,False,50,5437,1.985133702999974,2,,"[4, 7, 3, 5, 3, 1, 6, 2]"
19,60,False,50,5588,2.0476507490002405,1,,"[1, 4, 6, 0, 2, 7, 5, 2]"
20,61,False,50,5680,2.0918469379998896,1,,"[4, 2, 0, 5, 7, 1, 6, 2]"
21,62,False,50,5554,1.9144698850000168,1,,"[6, 1, 3, 7, 0, 2, 5, 2]"
22,63,False,50,5486,1.8878861769999276,1,,"[4, 1, 7, 2, 6, 3, 0, 0]"
23,64,False,50,5418,1.8745031139997081,1,,"[7, 3, 3, 0, 2, 4, 6, 1]"
24,65,False,50,5454,1.87793865499998,1,,"[1, 5, 2, 5, 7, 0, 3, 6]"
25,66,False,50,5603,1.9198994429998493,1,,"[4, 6, 1, 3, 6, 0, 2, 5]"
26,67,False,50,5487,1.8866946830003144,1,,"[7, 2, 4, 6, 1, 3, 5, 3]"
27,68,False,50,5454,1.8803750590000163,1,,"[7, 3, 1, 6, 4, 0, 7, 5]"
28,69,True,16,1691,0.586940252000204,0,0,"[2, 7, 3, 6, 0, 5, 1, 4]"
29,70,False,50,5414,1.856542356999853,1,,"[2, 5, 1, 4, 7, 0, 6, 1]"
30,71,False,50,5419,1.8714730510000663,1,,"[3, 6, 2, 5, 1, 4, 0, 5]"
31,72,False,50,5729,1.9671581120001065,1,,"[6, 3, 0, 7, 5, 2, 5, 1]"
32,73,False,50,5670,1.9484505460000037,1,,"[1, 4, 6, 0, 3, 5, 0, 2]"
33,74,True,26,2740,0.9423604009998598,0,0,"[5, 3, 6, 0, 7, 1, 4, 2]"
34,75,False,50,5595,1.932552219000172,1,,"[5, 3, 0, 6, 4, 1, 7, 4]"
35,76,False,50,5384,1.8468632300000536,1,,"[4, 1, 7, 4, 2, 0, 5, 3]"
36,77,False,50,5611,1.9177242979999392,1,,"[4, 2, 0, 5, 7, 1, 6, 2]"
37,78,True,14,1490,0.5131492640002762,0,0,"[7, 1, 3, 0, 6, 4, 2, 5]"
38,79,False,50,5435,1.9110749329997816,1,,"[1, 4, 6, 0, 2, 7, 5, 2]"
39,80,False,50,5299,2.1251573119998284,1,,"[5, 2, 6, 3, 0, 7, 4, 6]"
40,81,False,50,5344,1.9768010950001553,1,,"[1, 6, 2, 5, 7, 0, 3, 3]"
41,82,False,50,5697,2.0675414930001352,1,,"[5, 3, 1, 4, 7, 1, 6, 2]"
42,83,False,50,5330,2.009801767999761,1,,"[0, 5, 3, 1, 7, 2, 2, 6]"
43,84,False,50,5650,2.024917816999732,1,,"[2, 6, 3, 0, 4, 1, 5, 2]"
44,85,False,50,5508,2.256490053000107,1,,"[0, 0, 5, 7, 2, 6, 3, 1]"
45,86,False,50,5393,2.079543692000243,1,,"[6, 1, 7, 5, 3, 0, 4, 4]"
46,87,False,50,5516,2.095124179999857,1,,"[6, 4, 2, 7, 5, 3, 5, 0]"
47,88,False,50,5361,2.0572283550000066,1,,"[5, 2, 6, 3, 0, 7, 4, 4]"
48,89,False,50,5347,2.0735260199999175,1,,"[4, 1, 3, 5, 7, 2, 0, 5]"
49,90,False,50,5380,1.9817507630000364,1,,"[2, 4, 6, 3, 0, 6, 1, 5]"
50,91,False,50,5699,1.9410222110000177,1,,"[2, 5, 3, 0, 7, 5, 1, 6]"
51,92,False,50,5469,1.8832748899999388,1,,"[7, 4, 2, 0, 6, 1, 5, 1]"
52,93,False,50,5809,1.995051617000172,1,,"[3, 6, 0, 2, 0, 5, 7, 4]"
53,94,False,50,5430,2.1005618300000606,1,,"[4, 1, 7, 4, 6, 0, 2, 5]"
54,95,False,50,5570,1.9870996869999544,1,,"[3, 1, 6, 2, 0, 7, 4, 2]"
55,96,True,45,4781,1.6419662039998002,0,0,"[4, 0, 7, 5, 2, 6, 1, 3]"
56,97,True,17,1844,0.6310860070002491,0,0,"[5, 3, 1, 7, 4, 6, 0, 2]"
57,98,False,50,5372,1.8442842630001905,1,,"[6, 2, 5, 7, 4, 0, 3, 5]"
58,99,True,22,2334,0.8022787389995756,0,0,"[5, 1, 6, 0, 2, 4, 7, 3]"
59,100,True,14,1458,0.5064013279998107,0,0,"[3, 1, 6, 2, 5, 7, 4, 0]"
60,101,False,50,5428,1.8677206820002539,1,,"[2, 4, 1, 7, 0, 6, 0, 5]"
61,102,False,50,5613,1.930168219999814,1,,"[2, 0, 5, 7, 5, 1, 6, 4]"
62,103,False,50,5595,1.924275318999662,1,,"[3, 5, 0, 2, 0, 6, 1, 7]"
63,104,False,50,5576,1.9234834190001493,1,,"[6, 3, 1, 7, 5, 0, 6, 4]"
64,105,False,50,5489,1.8884642489997532,1,,"[3, 7, 4, 1, 5, 2, 6, 6]"
65,106,False,50,5474,1.88579519599989,1,,"[5, 1, 4, 7, 0, 6, 3, 1]"
66,107,False,50,5426,1.861422389999916,1,,"[3, 1, 7, 2, 6, 3, 0, 4]"
67,108,False,50,5553,1.9232264449997274,1,,"[2, 5, 7, 1, 7, 0, 6, 3]"
68,109,True,49,5242,1.8142345360001855,0,0,"[2, 4, 1, 7, 0, 6, 3, 5]"
69,110,False,50,5358,1.8361338879999494,1,,"[7, 1, 7, 2, 6, 3, 0, 4]"
70,111,False,50,5404,1.8646219809998001,1,,"[7, 1, 6, 2, 0, 6, 3, 5]"
71,112,False,50,5360,1.8472068369997032,1,,"[3, 0, 6, 3, 1, 7, 4, 2]"
72,113,False,50,5563,1.9144206080000004,1,,"[5, 0, 6, 3, 7, 7, 4, 2]"
73,114,False,50,5535,1.9015472179999051,1,,"[3, 6, 2, 5, 2, 0, 7, 4]"
74,115,False,50,5608,1.9350543460000154,1,,"[5, 2, 0, 7, 4, 1, 1, 6]"
75,116,False,50,5666,1.9907280309998896,1,,"[4, 7, 5, 3, 1, 6, 4, 2]"
76,117,False,50,5662,1.9621715510002105,1,,"[0, 5, 7, 1, 6, 0, 2, 4]"
77,118,False,50,5536,1.909359423999831,1,,"[5, 0, 4, 1, 5, 2, 6, 3]"
78,119,False,50,5416,1.8529085779996421,1,,"[7, 2, 0, 6, 1, 7, 5, 3]"
79,120,False,50,5598,1.9282766979999906,1,,"[7, 4, 2, 0, 6, 1, 7, 5]"
80,121,False,50,5444,1.8578689030000533,1,,"[5, 1, 1, 4, 6, 3, 0, 2]"
81,122,False,50,5444,1.8721424319996913,2,,"[4, 0, 4, 6, 1, 3, 7, 3]"
82,123,False,50,5574,1.9064108879997548,1,,"[5, 2, 0, 3, 0, 7, 1, 4]"
83,124,True,46,5224,1.8029527420003433,0,0,"[3, 0, 4, 7, 1, 6, 2, 5]"
84,125,False,50,5681,1.9646378860002187,1,,"[4, 1, 7, 2, 6, 3, 0, 4]"
85,126,False,50,5329,1.8375190910001038,1,,"[0, 4, 6, 1, 5, 7, 5, 3]"
86,127,False,50,5555,1.9171662130002005,1,,"[2, 2, 7, 1, 3, 0, 6, 4]"
87,128,False,50,5491,1.8915946310003164,1,,"[5, 0, 4, 7, 5, 2, 6, 1]"
88,129,False,50,5594,1.9264677229998597,1,,"[5, 3, 0, 7, 5, 1, 6, 4]"
89,130,False,50,5449,1.875037101000089,1,,"[2, 2, 7, 1, 3, 5, 0, 4]"
90,131,False,50,5547,1.9188857459998871,1,,"[0, 5, 1, 6, 6, 3, 7, 4]"
91,132,False,50,5604,1.9379498849998527,1,,"[2, 7, 1, 6, 0, 5, 7, 4]"
92,133,False,50,5446,1.8635508869997466,1,,"[2, 5, 7, 1, 7, 0, 6, 3]"
93,134,False,50,5470,1.8829968370000643,1,,"[0, 4, 1, 5, 2, 6, 3, 0]"
94,135,False,50,5677,1.9598382179997316,1,,"[3, 6, 4, 1, 5, 0, 5, 7]"
95,136,False,50,5453,1.8628021449999324,1,,"[5, 3, 5, 0, 4, 1, 7, 2]"
96,137,False,50,5464,1.876454028000353,1,,"[3, 0, 6, 4, 1, 5, 0, 2]"
97,138,False,50,5750,1.9876494129998719,1,,"[5, 2, 6, 1, 7, 4, 6, 3]"
98,139,False,50,5565,1.9227962370000569,1,,"[6, 2, 5, 1, 6, 0, 3, 7]"
99,140,False,50,5323,1.8326074749998043,1,,"[4, 0, 5, 3, 1, 7, 2, 2]"
100,141,False,50,5329,1.839307923999968,1,,"[7, 1, 4, 0, 0, 3, 5, 2]"
101,142,False,50,5565,1.9219638210001904,1,,"[5, 2, 0, 5, 7, 1, 3, 6]"
102,143,False,50,5587,1.924022380000224,1,,"[2, 5, 1, 6, 1, 3, 7, 0]"
103,144,False,50,5625,1.9304171750000023,1,,"[7, 2, 4, 6, 1, 3, 5, 7]"
104,145,False,50,5384,1.8502235539999674,1,,"[0, 3, 6, 2, 7, 1, 1, 5]"
105,146,False,50,5446,1.8752068960002362,1,,"[1, 5, 5, 0, 6, 4, 2, 7]"
106,147,False,50,5478,1.9282624790002956,1,,"[6, 0, 3, 1, 7, 5, 2, 0]"
107,148,False,50,5425,1.8611572549998527,2,,"[6, 2, 0, 6, 3, 5, 2, 4]"
108,149,False,50,5426,1.8659587199999805,1,,"[3, 1, 7, 5, 0, 2, 0, 6]"
109,150,False,50,5556,1.9245426410002437,1,,"[4, 7, 0, 3, 6, 2, 5, 2]"
110,151,False,50,5342,1.8381875989998662,1,,"[4, 2, 0, 6, 4, 7, 1, 3]"
111,152,False,50,5658,1.9537100150000697,1,,"[1, 4, 7, 0, 2, 5, 1, 6]"
112,153,False,50,5520,1.908643149999989,1,,"[1, 6, 0, 5, 7, 4, 6, 3]"
113,154,False,50,5393,1.854578728999968,1,,"[2, 2, 7, 1, 3, 0, 6, 4]"
114,155,False,50,5419,1.8693184339999789,1,,"[3, 3, 0, 7, 5, 2, 6, 1]"
115,156,False,50,5581,1.9176946210000096,1,,"[3, 1, 7, 4, 6, 0, 2, 4]"
